Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Crime_Category
300 S  AVENUE 57,,34.1093,-118.1879,06/27/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1900.0,11.0,Northeast,1139.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
5300    PLAYA VISTA                  DR,,33.9775,-118.4292,04/06/2020 12:00:00 AM,04/03/2020 12:00:00 AM,1900.0,14.0,Pacific,1463.0,2.0,0329,42.0,F,B,707.0,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
900    MANZANITA                    ST,,34.0884,-118.2842,06/11/2020 12:00:00 AM,06/11/2020 12:00:00 AM,915.0,2.0,Rampart,204.0,2.0,0100 0930 0928,36.0,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,Fraud and White-Collar Crimes
1400    HARRIDGE                     DR,,34.0961,-118.4191,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2300.0,8.0,West LA,808.0,1.0,0344 0342 0443 1309,21.0,M,W,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,Property Crimes
1500 E  106TH                        ST,,33.9397,-118.2478,08/09/2020 12:00:00 AM,07/31/2020 12:00:00 AM,2300.0,18.0,Southeast,1836.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
5300 N  SEPULVEDA                    BL,,34.1667,-118.4662,08/13/2020 12:00:00 AM,08/08/2020 12:00:00 AM,800.0,9.0,Van Nuys,952.0,2.0,0344 0930 1822,31.0,F,W,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont,Fraud and White-Collar Crimes
1200 E  24TH                         ST,,34.0211,-118.2552,04/11/2020 12:00:00 AM,04/11/2020 12:00:00 AM,1.0,13.0,Newton,1323.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
700 S  SPRING                       ST,,34.0438,-118.2547,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,2252.0,1.0,Central,163.0,2.0,1822 0329 1402,0.0,X,X,103.0,ALLEY,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,Property Crimes
BROADWAY,OLYMPIC,34.0409,-118.2574,07/06/2020 12:00:00 AM,07/05/2020 12:00:00 AM,1500.0,1.0,Central,185.0,1.0,1307 0344 0329 1609 1822,26.0,F,H,101.0,STREET,,,IC,Invest Cont,Property Crimes
15200    BURBANK                      BL,,34.1721,-118.4642,11/24/2020 12:00:00 AM,11/24/2020 12:00:00 AM,200.0,9.0,Van Nuys,952.0,2.0,0329,32.0,F,W,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
7600 S  BROADWAY,,33.9708,-118.2783,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1.0,12.0,77th Street,1258.0,2.0,0100,48.0,F,B,101.0,STREET,,,IC,Invest Cont,Fraud and White-Collar Crimes
5700 S  GRAMERCY                     PL,,33.9896,-118.3139,10/10/2020 12:00:00 AM,10/10/2020 12:00:00 AM,300.0,12.0,77th Street,1213.0,2.0,2000 1243 1813 0913 1206 0510 0401,44.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
8200 W  4TH                          ST,,34.0706,-118.3674,08/23/2020 12:00:00 AM,08/23/2020 12:00:00 AM,2000.0,7.0,Wilshire,723.0,2.0,0444 1810,74.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
1000 W  7TH                          ST,,34.0507,-118.2637,08/30/2020 12:00:00 AM,08/29/2020 12:00:00 AM,2200.0,2.0,Rampart,269.0,1.0,1822 1307 1302 0329 0344,38.0,M,B,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
11900    CHANDLER                     BL,,34.1684,-118.3921,01/30/2020 12:00:00 AM,01/30/2020 12:00:00 AM,1635.0,15.0,N Hollywood,1545.0,1.0,0314 0344,54.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
13200    CANTARA                      ST,,34.2198,-118.4181,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,800.0,15.0,N Hollywood,1501.0,2.0,0400,28.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
200    WORLD WAY,,33.9452,-118.4033,12/15/2020 12:00:00 AM,12/15/2020 12:00:00 AM,1720.0,14.0,Pacific,1494.0,2.0,,0.0,X,X,212.0,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,Crimes against Public Order
CIMARRON,SLAUSON                      AV,33.9891,-118.3161,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1100.0,12.0,77th Street,1213.0,2.0,0329 1402,26.0,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
75TH                         ST,CENTRAL                      AV,33.9721,-118.2564,09/04/2020 12:00:00 AM,09/03/2020 12:00:00 AM,2300.0,12.0,77th Street,1259.0,1.0,1309 0416 0447 1822,50.0,M,H,102.0,SIDEWALK,212.0,BOTTLE,IC,Invest Cont,Violent Crimes
17800    MIRANDA                      ST,,34.1746,-118.5198,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1950.0,10.0,West Valley,1045.0,2.0,2038 0913 1820 1202,69.0,F,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,Crimes against Public Order
5300    GEYSER                       AV,,34.1691,-118.543,05/22/2020 12:00:00 AM,05/21/2020 12:00:00 AM,2000.0,10.0,West Valley,1063.0,1.0,1300 1822 0344 1606,29.0,F,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
900 N  OXFORD                       AV,,34.0862,-118.3078,05/09/2020 12:00:00 AM,05/08/2020 12:00:00 AM,2130.0,6.0,Hollywood,678.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
3400 W  74TH                         ST,,33.9727,-118.3309,03/17/2020 12:00:00 AM,03/14/2020 12:00:00 AM,1000.0,12.0,77th Street,1251.0,1.0,0344 1822 1605,39.0,F,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
7TH                          ST,ALVARADO,34.0565,-118.2768,06/09/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1800.0,2.0,Rampart,245.0,2.0,2004 0416 0446 1822,34.0,F,H,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
6600 W  OLYMPIC                      BL,,34.0611,-118.3681,10/08/2020 12:00:00 AM,10/07/2020 12:00:00 AM,1200.0,7.0,Wilshire,742.0,2.0,0923,62.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
500 S  BROADWAY,,34.0474,-118.2513,11/28/2020 12:00:00 AM,11/28/2020 12:00:00 AM,1205.0,1.0,Central,153.0,2.0,0104 0416 0917 2003 1822,39.0,X,X,201.0,JEWELRY STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
WILSHIRE                     BL,HOBART                       BL,34.0617,-118.3054,05/12/2021 12:00:00 AM,12/05/2020 12:00:00 AM,900.0,20.0,Olympic,2033.0,1.0,1822 0344 0394,25.0,F,F,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
7200    AVALON                       BL,,33.9748,-118.2652,04/11/2020 12:00:00 AM,03/24/2020 12:00:00 AM,2000.0,12.0,77th Street,1259.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
RINALDI,SEPULVEDA,34.2791,-118.4688,03/21/2020 12:00:00 AM,03/21/2020 12:00:00 AM,1245.0,19.0,Mission,1935.0,2.0,0443,52.0,M,H,141.0,CEMETARY*,511.0,VERBAL THREAT,AA,Adult Arrest,Crimes against Public Order
5000    ALHAMA                       DR,,34.1596,-118.5936,02/18/2020 12:00:00 AM,02/17/2020 12:00:00 AM,1400.0,21.0,Topanga,2187.0,1.0,0344,64.0,M,W,101.0,STREET,,,IC,Invest Cont,Property Crimes
6200    HOLLYWOOD                    BL,,34.103,-118.3225,12/22/2020 12:00:00 AM,12/22/2020 12:00:00 AM,351.0,6.0,Hollywood,637.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
1800 S  BENTLEY                      AV,,34.0465,-118.442,05/23/2020 12:00:00 AM,05/21/2020 12:00:00 AM,2000.0,8.0,West LA,835.0,1.0,0344 0346,52.0,F,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
12700    LOUVRE                       ST,,34.2815,-118.4097,03/25/2020 12:00:00 AM,03/24/2020 12:00:00 AM,2100.0,16.0,Foothill,1602.0,2.0,0329,52.0,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
2900    LEEWARD                      AV,,34.0587,-118.2869,05/25/2023 12:00:00 AM,10/20/2020 12:00:00 AM,2200.0,20.0,Olympic,2039.0,2.0,0913 1810 1259 1251 0522 2034 0503,13.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Crimes against Persons
5700    CANOGA                       AV,,34.1733,-118.5974,05/16/2020 12:00:00 AM,05/16/2020 12:00:00 AM,1745.0,21.0,Topanga,2177.0,2.0,0416 0329,55.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
200 W  84TH                         ST,,33.9633,-118.2764,01/27/2020 12:00:00 AM,01/27/2020 12:00:00 AM,2200.0,12.0,77th Street,1268.0,2.0,1251 0913 0500 0552 1258,0.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Crimes against Persons
200    UNION                        PL,,34.0615,-118.2662,06/03/2020 12:00:00 AM,06/03/2020 12:00:00 AM,1400.0,2.0,Rampart,237.0,2.0,0361 0913 0444 0305,33.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
4000 S  MAIN                         ST,,34.0111,-118.274,03/02/2020 12:00:00 AM,02/16/2020 12:00:00 AM,800.0,13.0,Newton,1354.0,2.0,2041 1259,17.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Crimes against Persons
600 E  52ND                         PL,,33.995,-118.2652,10/10/2020 12:00:00 AM,09/08/2020 12:00:00 AM,2300.0,13.0,Newton,1373.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
1200    FERNBUSH                     LN,,34.0961,-118.4405,10/13/2020 12:00:00 AM,08/09/2020 12:00:00 AM,1300.0,8.0,West LA,807.0,1.0,1822 0344,25.0,M,B,107.0,VACANT LOT,,,IC,Invest Cont,Property Crimes
21700    SHERMAN                      WY,,34.201,-118.6021,10/18/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1700.0,21.0,Topanga,2146.0,2.0,2000 0419 0416 1813 1276,22.0,F,B,222.0,LAUNDROMAT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
3400 W  77TH                         ST,,33.97,-118.3308,02/07/2020 12:00:00 AM,01/31/2020 12:00:00 AM,700.0,12.0,77th Street,1251.0,1.0,0394 1822 0344,37.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
2200    CANYON                       DR,,34.1102,-118.317,09/28/2020 12:00:00 AM,09/28/2020 12:00:00 AM,2040.0,6.0,Hollywood,628.0,2.0,1822,39.0,F,C,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
300    KING                         AV,,33.7731,-118.2749,10/02/2020 12:00:00 AM,10/02/2020 12:00:00 AM,2130.0,5.0,Harbor,524.0,2.0,0913 0400 1814 2000,40.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
HOOVER                       ST,118TH                        ST,33.9265,-118.287,03/26/2020 12:00:00 AM,03/18/2020 12:00:00 AM,530.0,18.0,Southeast,1861.0,1.0,1822 0344 1307 0329 1609 2032,48.0,M,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
84TH                         ST,SAN PEDRO,33.9628,-118.2695,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,715.0,12.0,77th Street,1268.0,2.0,2000 1813 0444 0416,34.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
3200    MOTOR                        AV,,34.0238,-118.4066,03/16/2020 12:00:00 AM,03/14/2020 12:00:00 AM,440.0,14.0,Pacific,1407.0,2.0,0329,74.0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
900    BROXTON                      AV,,34.0626,-118.447,12/27/2020 12:00:00 AM,12/27/2020 12:00:00 AM,710.0,8.0,West LA,817.0,2.0,0421 0432 0913 1802,56.0,M,H,101.0,STREET,511.0,VERBAL THREAT,AO,Adult Other,Crimes against Public Order
00    18TH                         AV,,33.986,-118.4724,02/10/2020 12:00:00 AM,02/10/2020 12:00:00 AM,2200.0,14.0,Pacific,1431.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
4900    MARIONWOOD                   DR,,33.9933,-118.4101,02/21/2020 12:00:00 AM,02/21/2020 12:00:00 AM,2123.0,14.0,Pacific,1468.0,2.0,0906 1300 1402,0.0,X,X,101.0,STREET,,,AA,Adult Arrest,Other Crimes
103RD                        ST,GRANDEE                      AV,33.9487,-118.2392,08/14/2020 12:00:00 AM,08/14/2020 12:00:00 AM,1300.0,18.0,Southeast,1827.0,2.0,2000 1814 1300 0400 0447 1276,25.0,F,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Violent Crimes
10400    GLENOAKS                     BL,,34.2587,-118.396,11/16/2020 12:00:00 AM,11/16/2020 12:00:00 AM,245.0,16.0,Foothill,1654.0,1.0,1609 0344,45.0,M,H,144.0,GOLF COURSE*,,,IC,Invest Cont,Property Crimes
7900    LANKERSHIM                   BL,,34.2139,-118.3878,02/19/2020 12:00:00 AM,02/19/2020 12:00:00 AM,1925.0,16.0,Foothill,1685.0,2.0,0447 1601 0416 0913 0356,33.0,F,B,210.0,RESTAURANT/FAST FOOD,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Violent Crimes
48TH                         ST,FIGUEROA                     ST,33.9997,-118.2827,08/11/2020 12:00:00 AM,08/09/2020 12:00:00 AM,2130.0,12.0,77th Street,1208.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
SUNSET                       BL,EDGEMONT,34.0982,-118.2961,03/08/2020 12:00:00 AM,03/07/2020 12:00:00 AM,2055.0,11.0,Northeast,1151.0,1.0,2000 1814 0913 0416 0447 2004 1218,49.0,F,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
9600    LAWLEN                       WY,,34.0947,-118.4165,05/21/2020 12:00:00 AM,05/20/2020 12:00:00 AM,2130.0,8.0,West LA,808.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
1400 W  209TH                        ST,,33.84,-118.3017,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2130.0,5.0,Harbor,504.0,2.0,0400 2000 0448 1243 0913,45.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
5500 W  HOLLYWOOD                    BL,,0.0,0.0,08/14/2020 12:00:00 AM,08/14/2020 12:00:00 AM,944.0,6.0,Hollywood,648.0,1.0,0329,49.0,M,W,102.0,SIDEWALK,,,IC,Invest Cont,Property Crimes
300 E  2ND                          ST,,34.0498,-118.24,04/29/2020 12:00:00 AM,04/29/2020 12:00:00 AM,810.0,1.0,Central,128.0,2.0,0329,0.0,X,X,116.0,OTHER/OUTSIDE,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Property Crimes
4600 N  HUNTINGTON DR,,34.0881,-118.1877,06/04/2020 12:00:00 AM,06/04/2020 12:00:00 AM,805.0,4.0,Hollenbeck,407.0,1.0,0344 0329 1607,0.0,M,W,710.0,OTHER PREMISE,,,IC,Invest Cont,Property Crimes
S  FIGUEROA                     ST,W  85TH                         ST,33.9611,-118.2827,06/21/2020 12:00:00 AM,06/20/2020 12:00:00 AM,2200.0,12.0,77th Street,1267.0,1.0,1307 0344 1609,25.0,M,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
8300 S  HOOVER                       ST,,33.9635,-118.2871,07/16/2020 12:00:00 AM,07/04/2020 12:00:00 AM,1600.0,12.0,77th Street,1267.0,2.0,0100 1822 0930,34.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
5800 W  SUNSET                       BL,,34.0998,-118.3211,05/17/2020 12:00:00 AM,03/09/2020 12:00:00 AM,1200.0,6.0,Hollywood,647.0,1.0,,0.0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
1600    ELLSMERE                     AV,,34.0465,-118.3616,03/04/2020 12:00:00 AM,02/18/2020 12:00:00 AM,243.0,7.0,Wilshire,763.0,1.0,0344,36.0,M,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
300 E  111TH                        PL,,33.9339,-118.2695,01/17/2020 12:00:00 AM,01/17/2020 12:00:00 AM,1220.0,18.0,Southeast,1844.0,1.0,1822 0344,46.0,F,B,721.0,HIGH SCHOOL,,,IC,Invest Cont,Property Crimes
13400    INWOOD                       DR,,34.1395,-118.4247,07/03/2020 12:00:00 AM,07/02/2020 12:00:00 AM,1700.0,9.0,Van Nuys,994.0,1.0,1607 0344 0358 1414,35.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
1300    ALLISON                      AV,,34.073,-118.2513,09/15/2020 12:00:00 AM,09/15/2020 12:00:00 AM,1600.0,2.0,Rampart,219.0,2.0,0329,60.0,F,A,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
2300    WALL                         ST,,34.0254,-118.2629,04/20/2020 12:00:00 AM,04/20/2020 12:00:00 AM,1100.0,13.0,Newton,1322.0,2.0,0913 0416 0417 0429,12.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Crimes against Persons
24900    FRAMPTON                     AV,,33.7983,-118.2992,11/04/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1300.0,5.0,Harbor,509.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
3100    CARLYLE                      ST,,34.1058,-118.2354,01/17/2020 12:00:00 AM,01/17/2020 12:00:00 AM,1710.0,11.0,Northeast,1134.0,2.0,2038,53.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,Crimes against Public Order
TRUESDALE                    ST,TELFAIR                      ST,34.2398,-118.4003,03/17/2020 12:00:00 AM,03/17/2020 12:00:00 AM,2246.0,16.0,Foothill,1663.0,2.0,0601 0913 0554 2004,21.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Crimes against Public Order
1000 S  BROADWAY,,34.0409,-118.2574,01/18/2020 12:00:00 AM,01/17/2020 12:00:00 AM,2300.0,1.0,Central,185.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
13400    MAXELLA                      AV,,33.9906,-118.4391,12/27/2020 12:00:00 AM,12/27/2020 12:00:00 AM,1650.0,14.0,Pacific,1453.0,1.0,0344,0.0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
900 W  8TH                          ST,,34.0479,-118.2612,07/02/2020 12:00:00 AM,05/04/2020 12:00:00 AM,1612.0,1.0,Central,161.0,2.0,,0.0,,,203.0,OTHER BUSINESS,,,AA,Adult Arrest,Fraud and White-Collar Crimes
1100 E  18TH                         ST,,34.0262,-118.2518,06/14/2020 12:00:00 AM,06/14/2020 12:00:00 AM,1700.0,13.0,Newton,1313.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
00    TOLUCA ESTATES               DR,,34.1443,-118.36,06/09/2020 12:00:00 AM,06/08/2020 12:00:00 AM,1400.0,15.0,N Hollywood,1569.0,2.0,0800 1202,75.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
1900    CLINTON                      ST,,34.073,-118.264,03/14/2020 12:00:00 AM,03/14/2020 12:00:00 AM,1700.0,2.0,Rampart,217.0,1.0,0334 0302 1300 1309 1822,28.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AA,Adult Arrest,Violent Crimes
11TH                         AV,57TH                         ST,33.9909,-118.3294,08/28/2020 12:00:00 AM,08/28/2020 12:00:00 AM,1745.0,12.0,77th Street,1211.0,2.0,0913 0445 0329,51.0,M,B,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
700 N  HILL                         PL,,34.062,-118.2425,07/28/2020 12:00:00 AM,07/28/2020 12:00:00 AM,1550.0,1.0,Central,111.0,2.0,2000 0416,37.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
8200 S  MAIN                         ST,,33.9651,-118.2739,09/30/2020 12:00:00 AM,07/09/2020 12:00:00 AM,1400.0,12.0,77th Street,1268.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
51ST                         ST,CENTRAL                      AV,33.9967,-118.2565,02/03/2020 12:00:00 AM,02/03/2020 12:00:00 AM,1610.0,13.0,Newton,1363.0,2.0,0913 0446 0429 0444,57.0,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
2200    YOSEMITE                     DR,,34.1367,-118.2089,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,1135.0,11.0,Northeast,1115.0,2.0,2000 1814 0913 0400 0448,25.0,F,H,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
WASHINGTON,WEST,34.0398,-118.3374,09/28/2020 12:00:00 AM,09/26/2020 12:00:00 AM,1800.0,7.0,Wilshire,776.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
700 W  57TH                         ST,,33.9905,-118.2856,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,2330.0,12.0,77th Street,1218.0,1.0,1402 0334 0400 0416 0913,52.0,M,B,501.0,SINGLE FAMILY DWELLING,205.0,KITCHEN KNIFE,AA,Adult Arrest,Crimes against Public Order
5500    FULCHER                      AV,,34.17,-118.373,02/08/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1100.0,15.0,N Hollywood,1549.0,2.0,0416 0429 0553 1258,11.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Crimes against Persons
1500 N  POINSETTIA                   PL,,34.098,-118.3479,08/08/2020 12:00:00 AM,08/07/2020 12:00:00 AM,1900.0,6.0,Hollywood,643.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
1200 W  30TH                         ST,,34.0274,-118.29,08/14/2020 12:00:00 AM,08/07/2020 12:00:00 AM,1200.0,3.0,Southwest,338.0,1.0,0344 1612 1822,35.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
6000 N  LANKERSHIM                   BL,,34.1794,-118.3834,09/25/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1425.0,15.0,N Hollywood,1526.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
5400    VESPER                       AV,,34.1685,-118.4509,02/24/2020 12:00:00 AM,02/21/2020 12:00:00 AM,1310.0,9.0,Van Nuys,952.0,2.0,0522 0551,12.0,F,A,720.0,JUNIOR HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Crimes against Persons
700 S  CATALINA                     ST,,34.0598,-118.2979,04/29/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1530.0,20.0,Olympic,2035.0,1.0,0321 1822,0.0,X,X,721.0,HIGH SCHOOL,,,IC,Invest Cont,Property Crimes
1000 W  65TH                         ST,,33.9805,-118.2918,10/08/2020 12:00:00 AM,10/06/2020 12:00:00 AM,1200.0,12.0,77th Street,1245.0,2.0,0913 2004 0500 0522 0552,4.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Crimes against Persons
GORDON,SUNSET,34.0999,-118.3038,06/02/2020 12:00:00 AM,06/01/2020 12:00:00 AM,1800.0,6.0,Hollywood,649.0,1.0,0344,34.0,M,W,101.0,STREET,,,IC,Invest Cont,Property Crimes
48TH                         ST,AVALON                       BL,33.9997,-118.2652,08/30/2020 12:00:00 AM,08/26/2020 12:00:00 AM,1400.0,13.0,Newton,1363.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
1400    ARMACOST                     AV,,34.0423,-118.4656,07/19/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1.0,8.0,West LA,841.0,1.0,1609 0344 0346,23.0,F,C,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
18500    DEARBORN                     ST,,34.2373,-118.5369,11/12/2020 12:00:00 AM,11/06/2020 12:00:00 AM,800.0,17.0,Devonshire,1785.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
PLAYA VISTA                  DR,FOUNTAIN                     PK,33.9782,-118.422,09/01/2020 12:00:00 AM,08/29/2020 12:00:00 AM,900.0,14.0,Pacific,1463.0,1.0,1300 0344 1606,26.0,F,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
1100 S  BEDFORD                      ST,,34.0546,-118.3806,10/27/2020 12:00:00 AM,10/20/2020 12:00:00 AM,2035.0,8.0,West LA,849.0,2.0,0100 1202 0929 0930,67.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
